iter	MultiClass
0	1.417457649
1	1.287039645
2	1.187924056
3	1.100029334
4	1.031962381
5	0.9649890828
6	0.9079883692
7	0.8596361295
8	0.8158697437
9	0.7785062773
10	0.7444588847
11	0.7121106724
12	0.6792390977
13	0.6538705997
14	0.6283725983
15	0.6071887047
16	0.5888452841
17	0.5688970396
18	0.552182696
19	0.5380616071
20	0.5225802446
21	0.5101972954
22	0.4974303821
23	0.4878095332
24	0.4777549977
25	0.466963741
26	0.457099934
27	0.448942017
28	0.439588366
29	0.4318783429
30	0.425527779
31	0.4188073305
32	0.4139024931
33	0.4062986448
34	0.4010116803
35	0.396564957
36	0.3908828065
37	0.386398774
38	0.3818140342
39	0.3774116289
40	0.3739247827
41	0.3694563784
42	0.3659183001
43	0.3630545066
44	0.3592303872
45	0.3559707799
46	0.3527944796
47	0.3495098954
48	0.3469835885
49	0.3436723734
50	0.3415868765
51	0.3392895666
52	0.3373337402
53	0.3348854133
54	0.3326937429
55	0.3302952203
56	0.3282064378
57	0.3261769946
58	0.3242049082
59	0.322769886
60	0.3214010883
61	0.3197524635
62	0.3184411087
63	0.3170669479
64	0.3156942814
65	0.314151273
66	0.3129573065
67	0.311625539
68	0.3101440242
69	0.3086471354
70	0.3076884227
71	0.3065401953
72	0.3057635862
73	0.3044556031
74	0.3034684489
75	0.3023879692
76	0.301613094
77	0.3006498818
78	0.2997553827
79	0.298994176
80	0.2982693464
81	0.297459567
82	0.2968330167
83	0.2962050226
84	0.2956618989
85	0.2949890606
86	0.2944493801
87	0.2940463286
88	0.2933817325
89	0.2929102863
90	0.2923380747
91	0.2918409153
92	0.291270802
93	0.2909796389
94	0.2904523156
95	0.2897825835
96	0.2892711663
97	0.2887753755
98	0.2880135657
99	0.2875654705
100	0.2872577636
101	0.28694354
102	0.2867412718
103	0.286315039
104	0.2859703732
105	0.2854137677
106	0.2850370122
107	0.2846211818
108	0.2843855278
109	0.2840782319
110	0.2837562513
111	0.2833032204
112	0.2830032862
113	0.2825184788
114	0.2823140704
115	0.2821509466
116	0.281959862
117	0.2817037853
118	0.2813160443
119	0.2809841987
120	0.2806554854
121	0.2804758146
122	0.2801570182
123	0.279823236
124	0.2795814763
125	0.2792064032
126	0.2788801935
127	0.2785384433
128	0.2783024951
129	0.2780161333
130	0.2779027104
131	0.2776634148
132	0.2773284315
133	0.2771102134
134	0.2769785648
135	0.2767429893
136	0.2765899095
137	0.2763576867
138	0.276201398
139	0.2760095591
140	0.2758514983
141	0.275761146
142	0.275472749
143	0.2753396908
144	0.2751320274
145	0.2749396227
146	0.2747486934
147	0.2746069975
148	0.2745116275
149	0.2743117827
150	0.2741114501
151	0.2740110976
152	0.2738041222
153	0.2736449108
154	0.2734660013
155	0.2732688538
156	0.2730759063
157	0.2729944615
158	0.2728698266
159	0.2727823925
160	0.2726662598
161	0.2724776821
162	0.2723494051
163	0.2722063077
164	0.272091344
165	0.2719909581
166	0.2719229005
167	0.2716617575
168	0.271479243
169	0.2713330558
170	0.2712400706
171	0.2711167972
172	0.2710550658
173	0.2708201934
174	0.2706454255
175	0.270503675
176	0.2702773002
177	0.2701391947
178	0.2699862237
179	0.2698272875
180	0.269634041
181	0.2694277201
182	0.2692960031
183	0.2691578981
184	0.269104543
185	0.2689638557
186	0.268858122
187	0.2687500281
188	0.2686302173
189	0.2685004884
190	0.2683894694
191	0.2682669625
192	0.2681736076
193	0.2681173699
194	0.2680011428
195	0.2678904345
196	0.267805076
197	0.2677523921
198	0.2676832719
199	0.2675656339
200	0.2674987233
201	0.2674291172
202	0.267301338
203	0.2672310686
204	0.2671593514
205	0.2670711926
206	0.2670130025
207	0.2669139876
208	0.2668686935
209	0.2667646756
210	0.2666912532
211	0.26652128
212	0.2664148471
213	0.266314148
214	0.266188616
215	0.2661057074
216	0.2660129472
217	0.265906347
218	0.265825359
219	0.2657014467
220	0.2656182983
221	0.2655598763
222	0.2655116693
223	0.2654096208
224	0.2652986454
225	0.2651828787
226	0.2650983439
227	0.2650115432
228	0.2648984279
229	0.2648277201
230	0.2647359886
231	0.2647000739
232	0.2646256077
233	0.2645369731
234	0.264453732
235	0.2644003621
236	0.2643153502
237	0.264218754
238	0.2641494524
239	0.264100318
240	0.2639941945
241	0.2639292576
242	0.2638801299
243	0.2638173808
244	0.2637167337
245	0.263665563
246	0.2635344
247	0.2634884038
248	0.2634489755
249	0.2633931155
250	0.2633151246
251	0.2632676643
252	0.263230002
253	0.2631718897
254	0.2630745283
255	0.26302052
256	0.2629265745
257	0.2628632202
258	0.2627949027
259	0.2627021913
260	0.2626573404
261	0.2626260761
262	0.2625635
263	0.2625053862
264	0.2624318607
265	0.2623634261
266	0.2623164529
267	0.2621865186
268	0.2621398715
269	0.2621050644
270	0.2620457116
271	0.2619782244
272	0.2619495221
273	0.2619168785
274	0.2618304254
275	0.2617664845
276	0.2616880386
277	0.2616324114
278	0.2615480755
279	0.2614362236
280	0.2614001832
281	0.2613664319
282	0.2613331676
283	0.2612650918
284	0.2611843066
285	0.2611308617
286	0.2610482907
287	0.2610174491
288	0.2609863744
289	0.260929985
290	0.2608620612
291	0.2607867584
292	0.2607260886
293	0.2607024384
294	0.2606450894
295	0.2605890475
296	0.2605144598
297	0.2604937847
298	0.260445848
299	0.2604139995
300	0.2603176388
301	0.2602781125
302	0.2602423863
303	0.2601673461
304	0.2601330645
305	0.2601068468
306	0.2600294735
307	0.2599240422
308	0.259865497
309	0.2598065066
310	0.2597594216
311	0.2596818724
312	0.2596430777
313	0.2595946544
314	0.2595708699
315	0.2595469261
316	0.2595219736
317	0.2594712936
318	0.2594392317
319	0.2593763575
320	0.2593586581
321	0.2593312177
322	0.2592960185
323	0.2592194455
324	0.2591814158
325	0.2591058897
326	0.259062089
327	0.2590143027
328	0.2589864412
329	0.2589369709
330	0.2588931085
331	0.2588622074
332	0.2588271273
333	0.2587723456
334	0.2587102885
335	0.2586697153
336	0.258603684
337	0.25855668
338	0.2584731283
339	0.2584423713
340	0.2583895286
341	0.2583523324
342	0.2583218168
343	0.2582775012
344	0.2582429631
345	0.2582104978
346	0.2581639299
347	0.2581355116
348	0.258105348
349	0.2580864249
350	0.2580661576
351	0.2579899326
352	0.2579483875
353	0.2579037125
354	0.2578466645
355	0.2577947101
356	0.2577367878
357	0.2576915553
358	0.2576181933
359	0.257578925
360	0.2575161345
361	0.2574695415
362	0.2574505442
363	0.257429679
364	0.2573744651
365	0.2573172719
366	0.2572499412
367	0.2572243714
368	0.2571915208
369	0.2571235431
370	0.2570822672
371	0.2570345862
372	0.2570217296
373	0.2569716473
374	0.2569430047
375	0.2569288277
376	0.2568947836
377	0.2568462909
378	0.2568176086
379	0.25677893
380	0.256758672
381	0.2567360276
382	0.2566955511
383	0.256662024
384	0.2566262204
385	0.2566029346
386	0.2565615866
387	0.2565421842
388	0.2565165124
389	0.2564604443
390	0.2564292552
391	0.2563478053
392	0.2563205145
393	0.2562778929
394	0.2562270933
395	0.2561587157
396	0.2561127731
397	0.2560803452
398	0.2560445881
399	0.2560075148
400	0.2559717223
401	0.2559541784
402	0.2559311047
403	0.2558967037
404	0.2558482081
405	0.2558025609
406	0.2557526239
407	0.2557156684
408	0.2556791613
409	0.2556582734
410	0.2556176055
411	0.2555553353
412	0.2555300405
413	0.2555091206
414	0.2554952565
415	0.2554622382
416	0.2554234993
417	0.255403053
418	0.2553699192
419	0.255351774
420	0.2553173713
421	0.2552845286
422	0.2552369511
423	0.2552229973
424	0.2552009371
425	0.2551695122
426	0.2551244227
427	0.2550956804
428	0.2550682334
429	0.2550374942
430	0.2550117277
431	0.254965609
432	0.2549389826
433	0.2549108698
434	0.254874585
435	0.2548438679
436	0.2547847643
437	0.2547438207
438	0.2547249083
439	0.2546951961
440	0.2546761333
441	0.2546571158
442	0.254642418
443	0.2546174313
444	0.2545888584
445	0.2545446134
446	0.2545100863
447	0.2544877833
448	0.2544681243
449	0.2544172708
450	0.2543945495
451	0.2543479999
452	0.2543339752
453	0.2543136192
454	0.2542992244
455	0.254272177
456	0.254252238
457	0.2542164013
458	0.2541953289
459	0.2541726021
460	0.254124124
461	0.2540852974
462	0.2540703967
463	0.2540318291
464	0.25398728
465	0.2539520885
466	0.2539162466
467	0.2538927723
468	0.2538231031
469	0.2537947942
470	0.2537500619
471	0.2537205302
472	0.2536851937
473	0.2536501034
474	0.2536209829
475	0.2536053242
476	0.2535891969
477	0.2535665766
478	0.2535377188
479	0.2535232861
480	0.2534822504
481	0.2534282396
