iter	Passed	Remaining
0	346	345816
1	534	266911
2	743	247140
3	936	233215
4	1100	219093
5	1250	207117
6	1436	203715
7	1598	198238
8	1768	194681
9	1919	190054
10	2087	187643
11	2230	183677
12	2376	180456
13	2516	177200
14	2669	175324
15	2812	172992
16	2955	170919
17	3096	168928
18	3252	167952
19	3381	165712
20	3523	164265
21	3655	162514
22	3803	161567
23	3942	160348
24	4099	159865
25	4239	158831
26	4372	157578
27	4520	156924
28	4660	156058
29	4793	154990
30	4937	154327
31	5073	153470
32	5215	152826
33	5355	152151
34	5488	151339
35	5613	150318
36	5793	150776
37	5935	150263
38	6072	149641
39	6238	149733
40	6406	149847
41	6544	149267
42	6687	148829
43	6815	148083
44	6942	147339
45	7070	146631
46	7208	146159
47	7349	145763
48	7476	145098
49	7605	144508
50	7738	143988
51	7870	143484
52	8022	143340
53	8205	143755
54	8372	143858
55	8536	143902
56	8693	143826
57	8833	143474
58	8975	143149
59	9101	142593
60	9245	142317
61	9365	141689
62	9511	141466
63	9640	140990
64	9769	140537
65	9900	140108
66	10032	139708
67	10170	139392
68	10306	139068
69	10455	138914
70	10583	138473
71	10710	138040
72	10851	137796
73	10984	137459
74	11121	137171
75	11286	137221
76	11419	136883
77	11545	136471
78	11689	136280
79	11821	135947
80	11956	135654
81	12102	135488
82	12235	135185
83	12369	134888
84	12503	134595
85	12639	134330
86	12795	134276
87	12912	133816
88	13056	133646
89	13201	133477
90	13337	133225
91	13468	132933
92	13611	132745
93	13764	132662
94	13900	132418
95	14034	132155
96	14191	132116
97	14315	131763
98	14475	131739
99	14632	131690
100	14773	131495
101	14895	131141
102	15042	131001
103	15164	130644
104	15300	130416
105	15435	130180
106	15588	130102
107	15730	129918
108	15867	129702
109	15987	129351
110	16131	129200
111	16284	129108
112	16416	128866
113	16564	128736
114	16702	128534
115	16830	128259
116	16958	127989
117	17091	127754
118	17233	127585
119	17359	127305
120	17498	127115
121	17618	126793
122	17777	126753
123	17925	126636
124	18084	126591
125	18224	126415
126	18356	126183
127	18504	126063
128	18660	125991
129	18813	125906
130	18952	125724
131	19100	125600
132	19266	125591
133	19402	125390
134	19528	125125
135	19658	124891
136	19800	124726
137	19915	124399
138	20083	124400
139	20204	124113
140	20335	123885
141	20469	123681
142	20625	123608
143	20758	123396
144	20934	123441
145	21070	123248
146	21224	123160
147	21349	122902
148	21493	122758
149	21621	122520
150	21775	122433
151	21899	122175
152	22036	121991
153	22187	121889
154	22331	121744
155	22480	121627
156	22622	121469
157	22777	121385
158	22918	121225
159	23041	120966
160	23167	120732
161	23333	120699
162	23484	120591
163	23630	120457
164	23792	120402
165	23917	120164
166	24055	119989
167	24214	119920
168	24360	119782
169	24498	119608
170	24643	119471
171	24777	119277
172	24913	119094
173	25056	118947
174	25195	118779
175	25310	118500
176	25445	118314
177	25579	118125
178	25725	117993
179	25880	117898
180	26051	117879
181	26193	117728
182	26346	117623
183	26480	117433
184	26610	117230
185	26743	117040
186	26897	116939
187	27057	116863
188	27197	116706
189	27327	116503
190	27446	116254
191	27573	116037
192	27722	115916
193	27846	115692
194	28021	115677
195	28163	115528
196	28307	115383
197	28431	115162
198	28558	114950
199	28702	114808
200	28834	114622
201	29013	114617
202	29189	114602
203	29331	114448
204	29468	114279
205	29610	114130
206	29738	113923
207	29890	113815
208	30036	113678
209	30218	113678
210	30352	113498
211	30496	113355
212	30671	113325
213	30799	113125
214	31007	113213
215	31155	113084
216	31311	112982
217	31452	112825
218	31578	112615
219	31765	112624
220	31904	112459
221	32033	112261
222	32163	112066
223	32301	111903
224	32448	111766
225	32593	111625
226	32719	111417
227	32858	111256
228	33004	111119
229	33154	110994
230	33311	110892
231	33435	110683
232	33563	110485
233	33698	110310
234	33874	110271
235	34008	110095
236	34134	109892
237	34279	109753
238	34420	109596
239	34563	109452
240	34707	109308
241	34839	109125
242	34988	108996
243	35118	108811
244	35273	108700
245	35435	108609
246	35581	108474
247	35704	108266
248	35849	108124
249	35962	107888
250	36093	107705
251	36255	107614
252	36394	107458
253	36530	107290
254	36677	107157
255	36798	106946
256	36954	106837
257	37098	106694
258	37235	106529
259	37373	106369
260	37508	106201
261	37635	106010
262	37784	105882
263	37911	105693
264	38079	105617
265	38229	105491
266	38360	105312
267	38504	105168
268	38641	105006
269	38761	104800
270	38911	104673
271	39061	104547
272	39205	104404
273	39325	104197
274	39499	104134
275	39654	104021
276	39806	103899
277	39967	103800
278	40125	103693
279	40309	103653
280	40456	103515
281	40590	103346
282	40709	103139
283	40858	103009
284	41016	102901
285	41146	102723
286	41318	102648
287	41465	102512
288	41626	102410
289	41777	102281
290	41968	102253
291	42140	102176
292	42291	102048
293	42432	101896
294	42584	101770
295	42709	101579
296	42870	101475
297	42996	101287
298	43160	101188
299	43304	101043
300	43442	100884
301	43580	100725
302	43737	100609
303	43873	100448
304	44041	100355
305	44205	100257
306	44339	100088
307	44474	99924
308	44622	99787
309	44771	99653
310	44949	99581
311	45109	99471
312	45258	99338
313	45438	99269
314	45573	99104
315	45721	98966
316	45871	98832
317	46048	98758
318	46213	98657
319	46350	98494
320	46470	98297
321	46589	98098
322	46752	97991
323	46901	97856
324	47037	97692
325	47214	97614
326	47394	97542
327	47535	97389
328	47673	97231
329	47845	97140
330	47988	96991
331	48143	96867
332	48321	96787
333	48466	96643
334	48635	96544
335	48774	96388
336	48938	96278
337	49125	96215
338	49301	96131
339	49439	95970
340	49577	95810
341	49711	95644
342	49828	95443
343	49972	95297
344	50110	95137
345	50250	94981
346	50381	94810
347	50516	94646
348	50685	94545
349	50810	94362
350	50930	94170
351	51094	94060
352	51226	93891
353	51367	93738
354	51524	93614
355	51666	93464
356	51830	93352
357	51947	93156
358	52103	93031
359	52243	92877
360	52380	92717
361	52509	92544
362	52661	92411
363	52794	92245
364	52972	92157
365	53117	92012
366	53298	91929
367	53425	91751
368	53549	91571
369	53676	91395
370	53807	91226
371	53944	91067
372	54073	90895
373	54197	90715
374	54354	90590
375	54484	90421
376	54606	90237
377	54746	90086
378	54879	89921
379	55038	89799
380	55161	89619
381	55285	89441
382	55434	89302
383	55557	89124
384	55697	88971
385	55835	88815
386	55980	88671
387	56111	88505
388	56255	88360
389	56407	88227
390	56546	88073
391	56667	87891
392	56803	87734
393	56928	87560
394	57085	87434
395	57235	87297
396	57368	87137
397	57513	86992
398	57668	86864
399	57818	86727
400	57951	86566
401	58063	86372
402	58199	86216
403	58344	86072
404	58481	85917
405	58632	85783
406	58771	85629
407	58911	85479
408	59044	85318
409	59182	85164
410	59324	85017
411	59466	84869
412	59613	84729
413	59726	84540
414	59859	84380
415	59981	84204
416	60125	84060
417	60269	83915
418	60424	83787
419	60543	83607
420	60689	83466
421	60833	83321
422	60969	83166
423	61085	82984
424	61223	82831
425	61359	82677
